[2022-09-22 19:22:40,533][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:41,549][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:42,564][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:43,579][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:44,594][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:45,608][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:46,624][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:47,639][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:48,654][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:49,670][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:50,685][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:51,701][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:52,716][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:53,733][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:54,750][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:55,766][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:56,782][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:57,798][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:58,814][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:22:59,830][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:23:00,844][PROCESS_MONITOR][INFO]python3(383616), Memory: 2012 MiB, GPU Memory: 827 MiB
[2022-09-22 19:23:01,856][PROCESS_MONITOR][INFO]python3(383616), Memory: 2159 MiB, GPU Memory: 859 MiB
[2022-09-22 19:23:02,869][PROCESS_MONITOR][INFO]python3(383616), Memory: 2393 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:03,883][PROCESS_MONITOR][INFO]python3(383616), Memory: 2393 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:04,898][PROCESS_MONITOR][INFO]python3(383616), Memory: 2394 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:05,913][PROCESS_MONITOR][INFO]python3(383616), Memory: 2394 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:06,927][PROCESS_MONITOR][INFO]python3(383616), Memory: 2394 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:07,942][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:08,957][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:09,972][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:10,986][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:12,001][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:13,016][PROCESS_MONITOR][INFO]python3(383616), Memory: 2395 MiB, GPU Memory: 861 MiB
[2022-09-22 19:23:14,031][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:15,046][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:16,060][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:17,074][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:18,088][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:19,102][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:20,116][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:21,132][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:22,146][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:23,161][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:24,174][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:25,189][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:26,208][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:27,222][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:28,236][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:29,249][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:30,263][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:31,277][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:32,291][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:33,305][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:34,319][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:35,333][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:36,348][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:37,362][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:38,376][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:39,389][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:40,403][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:41,418][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:42,432][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:43,445][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:44,458][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:45,472][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:46,486][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:47,500][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:48,516][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
[2022-09-22 19:23:49,530][PROCESS_MONITOR][INFO]python3(383616), Memory: 2424 MiB, GPU Memory: 1341 MiB
