[2022-09-19 23:53:49,079][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:50,094][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:51,110][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:52,127][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:53,143][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:54,159][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:55,175][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:56,191][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:57,207][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:58,223][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:53:59,239][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:54:00,255][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:54:01,271][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:54:02,287][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:54:03,301][PROCESS_MONITOR][INFO]python3(228865), Memory: 1662 MiB, GPU Memory: 635 MiB
[2022-09-19 23:54:04,314][PROCESS_MONITOR][INFO]python3(228865), Memory: 1701 MiB, GPU Memory: 641 MiB
[2022-09-19 23:54:05,328][PROCESS_MONITOR][INFO]python3(228865), Memory: 1705 MiB, GPU Memory: 641 MiB
[2022-09-19 23:54:06,341][PROCESS_MONITOR][INFO]python3(228865), Memory: 1705 MiB, GPU Memory: 641 MiB
