[2022-09-21 16:41:00,966][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 53/50000, RespTime: 0.2689
[2022-09-21 16:41:01,258][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 54/50000, RespTime: 0.2680
[2022-09-21 16:41:01,581][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 55/50000, RespTime: 0.2697
[2022-09-21 16:41:01,872][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 56/50000, RespTime: 0.2683
[2022-09-21 16:41:02,161][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 57/50000, RespTime: 0.2677
[2022-09-21 16:41:02,452][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 58/50000, RespTime: 0.2678
[2022-09-21 16:41:02,749][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 59/50000, RespTime: 0.2685
[2022-09-21 16:41:03,045][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 60/50000, RespTime: 0.2686
[2022-09-21 16:41:03,333][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 61/50000, RespTime: 0.2675
[2022-09-21 16:41:03,629][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 62/50000, RespTime: 0.2692
[2022-09-21 16:41:03,917][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 63/50000, RespTime: 0.2674
[2022-09-21 16:41:04,208][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 64/50000, RespTime: 0.2683
[2022-09-21 16:41:04,496][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 65/50000, RespTime: 0.2674
[2022-09-21 16:41:04,786][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 66/50000, RespTime: 0.2687
[2022-09-21 16:41:05,083][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 67/50000, RespTime: 0.2686
[2022-09-21 16:41:05,374][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 68/50000, RespTime: 0.2679
[2022-09-21 16:41:05,660][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 69/50000, RespTime: 0.2679
[2022-09-21 16:41:05,951][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 70/50000, RespTime: 0.2679
[2022-09-21 16:41:06,241][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 71/50000, RespTime: 0.2681
[2022-09-21 16:41:06,542][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 72/50000, RespTime: 0.2690
