[2022-09-06 15:32:20,847][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:21,864][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:22,881][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:23,899][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:24,916][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:25,933][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:26,949][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:27,966][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:28,982][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:29,997][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:31,013][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:32,029][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:33,046][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:34,062][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:35,078][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:36,095][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:37,112][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:38,130][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:39,146][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:40,163][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:41,180][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:42,197][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:43,214][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:44,230][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:45,246][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:46,262][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:47,278][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:48,294][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:49,310][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:50,326][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:51,342][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:52,358][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:53,374][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:54,390][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:55,405][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:56,421][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:57,438][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:58,455][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:32:59,471][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:00,487][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:01,504][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:02,521][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:03,537][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:04,554][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:05,570][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:06,585][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:07,602][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:08,616][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1738 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:09,629][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 1771 MiB, GPU Memory: 959 MiB
[2022-09-06 15:33:10,644][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 2854 MiB, GPU Memory: 1343 MiB
[2022-09-06 15:33:11,660][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:12,674][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:13,688][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:14,703][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:15,720][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:16,736][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:17,752][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:18,768][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:19,783][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:20,798][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:21,815][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:22,831][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:23,847][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:24,864][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:25,879][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:26,895][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:27,912][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:28,928][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3604 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:29,943][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3610 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:30,959][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:31,974][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:32,990][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:34,005][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:35,021][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:36,036][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:37,052][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:38,068][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:39,088][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:40,104][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:41,119][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:42,135][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:43,151][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:44,167][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:45,184][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:46,200][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:47,216][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:48,230][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:49,246][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:50,262][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:51,277][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:52,294][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:53,310][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:54,326][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:55,341][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:56,358][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:57,373][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:58,389][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:33:59,405][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:00,421][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:01,437][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:02,451][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:03,467][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:04,483][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:05,500][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:06,516][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:07,532][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:08,549][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
[2022-09-06 15:34:09,565][PROCESS_MONITOR][INFO]tritonserver(141372), Memory: 3614 MiB, GPU Memory: 1843 MiB
