[2022-11-03 21:18:05,404][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:06,419][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:07,433][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:08,449][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:09,465][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:10,480][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:11,496][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:12,510][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:13,524][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2150 MiB, GPU Memory: 1037 MiB
[2022-11-03 21:18:14,536][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:15,549][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:16,564][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2734 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:17,579][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:18,594][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:19,608][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:20,621][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:21,636][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:22,651][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:23,664][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:24,678][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:25,694][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2737 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:26,707][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2738 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:27,722][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2738 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:28,738][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2738 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:29,752][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:30,767][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:31,782][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:32,797][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:33,812][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:34,826][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:35,841][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:36,856][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:37,871][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:38,886][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:39,901][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:40,916][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:41,929][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:42,944][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:43,959][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:44,974][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:45,989][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2739 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:47,003][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:48,018][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:49,034][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:50,049][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:51,064][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:52,079][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:53,094][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:54,107][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:55,122][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:56,138][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:57,151][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:58,166][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:18:59,180][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:00,195][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2740 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:01,210][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:02,225][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:03,240][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:04,254][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:05,270][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:06,285][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:07,300][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:08,315][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:09,330][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:10,344][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2741 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:11,358][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2742 MiB, GPU Memory: 1231 MiB
[2022-11-03 21:19:12,372][PROCESS_MONITOR][INFO]tritonserver(333168), Memory: 2742 MiB, GPU Memory: 1231 MiB
