[2022-09-16 19:10:20,429][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:21,443][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:22,457][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:23,472][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:24,489][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:25,505][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:26,520][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:27,534][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:28,549][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:29,564][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:30,579][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:31,593][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:32,608][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:33,625][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:34,641][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:35,657][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:36,673][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:37,688][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:38,704][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:39,719][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:40,734][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:41,749][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:42,763][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:43,778][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:44,793][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:45,808][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:46,823][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:47,838][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:48,861][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:49,876][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:50,892][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:51,908][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:52,925][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:53,939][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 986 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:54,953][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 1043 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:55,966][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 1051 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:56,980][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 1051 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:57,993][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 1051 MiB, GPU Memory: 609 MiB
[2022-09-16 19:10:59,008][PROCESS_MONITOR][INFO]tritonserver(120344), Memory: 1051 MiB, GPU Memory: 609 MiB
