[2022-11-02 17:05:36,638][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:37,653][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:38,669][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:39,685][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:40,701][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:41,718][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:42,734][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:43,750][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:44,767][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:45,784][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:46,796][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2155 MiB, GPU Memory: 1075 MiB
[2022-11-02 17:05:47,809][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2282 MiB, GPU Memory: 1101 MiB
[2022-11-02 17:05:48,822][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2745 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:49,836][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2749 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:50,851][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2751 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:51,866][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2751 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:52,882][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2751 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:53,898][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2751 MiB, GPU Memory: 1271 MiB
[2022-11-02 17:05:54,913][PROCESS_MONITOR][INFO]tritonserver(47152), Memory: 2751 MiB, GPU Memory: 1271 MiB
