[2022-09-18 21:53:26,371][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:27,386][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:28,402][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:29,417][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:30,431][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:31,447][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:32,463][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:33,479][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:34,495][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:35,511][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:36,527][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:37,543][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:38,559][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:39,574][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:40,587][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 975 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:41,599][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 991 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:42,614][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:43,628][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:44,642][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:45,657][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:46,672][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:47,685][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:48,700][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:49,714][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:50,728][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-18 21:53:51,744][PROCESS_MONITOR][INFO]tritonserver(184648), Memory: 994 MiB, GPU Memory: 517 MiB
