[2022-10-12 06:10:12,365][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 46/500, InferTime: 0.0456, RespTime: 0.0690
[2022-10-12 06:10:12,465][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 47/500, InferTime: 0.0452, RespTime: 0.0678
[2022-10-12 06:10:12,566][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 48/500, InferTime: 0.0460, RespTime: 0.0690
[2022-10-12 06:10:12,713][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 49/500, InferTime: 0.0448, RespTime: 0.1108
[2022-10-12 06:10:12,808][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 50/500, InferTime: 0.0449, RespTime: 0.0670
[2022-10-12 06:10:12,913][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 51/500, InferTime: 0.0446, RespTime: 0.0669
[2022-10-12 06:10:13,049][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 52/500, InferTime: 0.0456, RespTime: 0.0693
[2022-10-12 06:10:13,184][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 53/500, InferTime: 0.0453, RespTime: 0.0668
[2022-10-12 06:10:13,286][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 54/500, InferTime: 0.0453, RespTime: 0.0682
[2022-10-12 06:10:13,411][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 55/500, InferTime: 0.0448, RespTime: 0.1005
[2022-10-12 06:10:13,504][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 56/500, InferTime: 0.0456, RespTime: 0.0674
[2022-10-12 06:10:13,623][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 57/500, InferTime: 0.0444, RespTime: 0.0663
[2022-10-12 06:10:13,723][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 58/500, InferTime: 0.0447, RespTime: 0.0655
[2022-10-12 06:10:13,814][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 59/500, InferTime: 0.0449, RespTime: 0.0669
[2022-10-12 06:10:13,911][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 60/500, InferTime: 0.0451, RespTime: 0.0677
[2022-10-12 06:10:14,000][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 61/500, InferTime: 0.0444, RespTime: 0.0652
[2022-10-12 06:10:14,091][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 62/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:14,180][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 63/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:14,269][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 64/500, InferTime: 0.0442, RespTime: 0.0652
[2022-10-12 06:10:14,354][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 65/500, InferTime: 0.0447, RespTime: 0.0656
[2022-10-12 06:10:14,487][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 66/500, InferTime: 0.0443, RespTime: 0.0657
[2022-10-12 06:10:14,576][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 67/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:14,662][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 68/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:14,753][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 69/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:14,845][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 70/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:14,936][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 71/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:15,029][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 72/500, InferTime: 0.0446, RespTime: 0.0678
[2022-10-12 06:10:15,129][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 73/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:15,222][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 74/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:15,311][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 75/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:15,399][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 76/500, InferTime: 0.0445, RespTime: 0.0654
[2022-10-12 06:10:15,490][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 77/500, InferTime: 0.0443, RespTime: 0.0653
[2022-10-12 06:10:15,579][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 78/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:15,666][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 79/500, InferTime: 0.0447, RespTime: 0.0661
[2022-10-12 06:10:15,795][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 80/500, InferTime: 0.0444, RespTime: 0.0654
[2022-10-12 06:10:15,885][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 81/500, InferTime: 0.0452, RespTime: 0.0670
[2022-10-12 06:10:16,001][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 82/500, InferTime: 0.0448, RespTime: 0.0903
[2022-10-12 06:10:16,088][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 83/500, InferTime: 0.0445, RespTime: 0.0654
[2022-10-12 06:10:16,180][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 84/500, InferTime: 0.0444, RespTime: 0.0653
[2022-10-12 06:10:16,268][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 85/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:16,355][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 86/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:16,441][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 87/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:16,532][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 88/500, InferTime: 0.0443, RespTime: 0.0653
[2022-10-12 06:10:16,621][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 89/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:16,712][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 90/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:16,804][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 91/500, InferTime: 0.0447, RespTime: 0.0657
[2022-10-12 06:10:16,901][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 92/500, InferTime: 0.0443, RespTime: 0.0726
[2022-10-12 06:10:16,991][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 93/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:17,082][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 94/500, InferTime: 0.0442, RespTime: 0.0652
[2022-10-12 06:10:17,169][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 95/500, InferTime: 0.0441, RespTime: 0.0651
[2022-10-12 06:10:17,260][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 96/500, InferTime: 0.0447, RespTime: 0.0656
[2022-10-12 06:10:17,421][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 97/500, InferTime: 0.0447, RespTime: 0.0699
[2022-10-12 06:10:17,509][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 98/500, InferTime: 0.0449, RespTime: 0.0659
[2022-10-12 06:10:17,595][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 99/500, InferTime: 0.0443, RespTime: 0.0653
[2022-10-12 06:10:17,683][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 100/500, InferTime: 0.0447, RespTime: 0.0656
[2022-10-12 06:10:17,779][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 101/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:17,864][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 102/500, InferTime: 0.0447, RespTime: 0.0656
[2022-10-12 06:10:17,949][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 103/500, InferTime: 0.0447, RespTime: 0.0656
[2022-10-12 06:10:18,032][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 104/500, InferTime: 0.0442, RespTime: 0.0652
[2022-10-12 06:10:18,120][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 105/500, InferTime: 0.0447, RespTime: 0.0657
[2022-10-12 06:10:18,212][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 106/500, InferTime: 0.0442, RespTime: 0.0651
[2022-10-12 06:10:18,301][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 107/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:18,392][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 108/500, InferTime: 0.0442, RespTime: 0.0652
[2022-10-12 06:10:18,480][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 109/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:18,574][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 110/500, InferTime: 0.0444, RespTime: 0.0654
[2022-10-12 06:10:18,655][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 111/500, InferTime: 0.0442, RespTime: 0.0651
[2022-10-12 06:10:18,821][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 112/500, InferTime: 0.0450, RespTime: 0.0664
[2022-10-12 06:10:18,910][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 113/500, InferTime: 0.0443, RespTime: 0.0653
[2022-10-12 06:10:19,026][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 114/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:19,114][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 115/500, InferTime: 0.0444, RespTime: 0.0653
[2022-10-12 06:10:19,203][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 116/500, InferTime: 0.0445, RespTime: 0.0668
[2022-10-12 06:10:19,292][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 117/500, InferTime: 0.0444, RespTime: 0.0655
[2022-10-12 06:10:19,380][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 118/500, InferTime: 0.0443, RespTime: 0.0653
[2022-10-12 06:10:19,465][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 119/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:19,553][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 120/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:19,647][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 121/500, InferTime: 0.0449, RespTime: 0.0693
[2022-10-12 06:10:19,743][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 122/500, InferTime: 0.0450, RespTime: 0.0676
[2022-10-12 06:10:19,837][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 123/500, InferTime: 0.0445, RespTime: 0.0662
[2022-10-12 06:10:19,989][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 124/500, InferTime: 0.0450, RespTime: 0.0671
[2022-10-12 06:10:20,082][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 125/500, InferTime: 0.0446, RespTime: 0.0665
[2022-10-12 06:10:20,181][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 126/500, InferTime: 0.0449, RespTime: 0.0670
[2022-10-12 06:10:20,271][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 127/500, InferTime: 0.0446, RespTime: 0.0667
[2022-10-12 06:10:20,364][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 128/500, InferTime: 0.0448, RespTime: 0.0668
[2022-10-12 06:10:20,504][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 129/500, InferTime: 0.0453, RespTime: 0.0677
[2022-10-12 06:10:20,603][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 130/500, InferTime: 0.0451, RespTime: 0.0681
[2022-10-12 06:10:20,712][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 131/500, InferTime: 0.0454, RespTime: 0.0820
[2022-10-12 06:10:20,808][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 132/500, InferTime: 0.0445, RespTime: 0.0667
[2022-10-12 06:10:20,905][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 133/500, InferTime: 0.0449, RespTime: 0.0672
[2022-10-12 06:10:21,000][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 134/500, InferTime: 0.0445, RespTime: 0.0666
[2022-10-12 06:10:21,093][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 135/500, InferTime: 0.0450, RespTime: 0.0674
[2022-10-12 06:10:21,189][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 136/500, InferTime: 0.0449, RespTime: 0.0679
[2022-10-12 06:10:21,286][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 137/500, InferTime: 0.0446, RespTime: 0.0669
[2022-10-12 06:10:21,379][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 138/500, InferTime: 0.0450, RespTime: 0.0671
[2022-10-12 06:10:21,485][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 139/500, InferTime: 0.0445, RespTime: 0.0664
[2022-10-12 06:10:21,637][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 140/500, InferTime: 0.0445, RespTime: 0.0684
[2022-10-12 06:10:21,724][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 141/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:21,808][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 142/500, InferTime: 0.0446, RespTime: 0.0654
[2022-10-12 06:10:21,909][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 143/500, InferTime: 0.0444, RespTime: 0.0653
[2022-10-12 06:10:21,998][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 144/500, InferTime: 0.0443, RespTime: 0.0664
[2022-10-12 06:10:22,095][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 145/500, InferTime: 0.0445, RespTime: 0.0655
[2022-10-12 06:10:22,181][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 146/500, InferTime: 0.0444, RespTime: 0.0655
[2022-10-12 06:10:22,493][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 147/500, InferTime: 0.0450, RespTime: 0.0708
[2022-10-12 06:10:22,581][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 148/500, InferTime: 0.0444, RespTime: 0.0657
[2022-10-12 06:10:22,666][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 149/500, InferTime: 0.0444, RespTime: 0.0655
[2022-10-12 06:10:22,753][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 150/500, InferTime: 0.0445, RespTime: 0.0656
[2022-10-12 06:10:22,844][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 151/500, InferTime: 0.0442, RespTime: 0.0654
[2022-10-12 06:10:22,929][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 152/500, InferTime: 0.0446, RespTime: 0.0659
[2022-10-12 06:10:23,068][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 153/500, InferTime: 0.0445, RespTime: 0.0657
[2022-10-12 06:10:23,155][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 154/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:23,241][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 155/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:23,328][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 156/500, InferTime: 0.0442, RespTime: 0.0653
[2022-10-12 06:10:23,412][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 157/500, InferTime: 0.0446, RespTime: 0.0654
[2022-10-12 06:10:23,500][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 158/500, InferTime: 0.0442, RespTime: 0.0654
[2022-10-12 06:10:23,586][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 159/500, InferTime: 0.0448, RespTime: 0.0658
[2022-10-12 06:10:23,675][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 160/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:23,763][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 161/500, InferTime: 0.0443, RespTime: 0.0651
[2022-10-12 06:10:23,915][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 162/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:24,007][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 163/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:24,106][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 164/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:24,505][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 165/500, InferTime: 0.0447, RespTime: 0.0662
[2022-10-12 06:10:24,593][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 166/500, InferTime: 0.0446, RespTime: 0.0654
[2022-10-12 06:10:24,688][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 167/500, InferTime: 0.0446, RespTime: 0.0672
[2022-10-12 06:10:24,776][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 168/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:24,861][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 169/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:24,948][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 170/500, InferTime: 0.0442, RespTime: 0.0653
[2022-10-12 06:10:25,042][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 171/500, InferTime: 0.0447, RespTime: 0.0655
[2022-10-12 06:10:25,129][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 172/500, InferTime: 0.0443, RespTime: 0.0663
[2022-10-12 06:10:25,221][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 173/500, InferTime: 0.0446, RespTime: 0.0657
[2022-10-12 06:10:25,311][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 174/500, InferTime: 0.0444, RespTime: 0.0654
[2022-10-12 06:10:25,402][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 175/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:25,494][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 176/500, InferTime: 0.0444, RespTime: 0.0653
[2022-10-12 06:10:25,580][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 177/500, InferTime: 0.0442, RespTime: 0.0652
[2022-10-12 06:10:25,666][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 178/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:25,752][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 179/500, InferTime: 0.0444, RespTime: 0.0653
[2022-10-12 06:10:25,845][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 180/500, InferTime: 0.0444, RespTime: 0.0652
[2022-10-12 06:10:25,929][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 181/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:26,043][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 182/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:26,132][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 183/500, InferTime: 0.0447, RespTime: 0.0657
[2022-10-12 06:10:26,223][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 184/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:26,328][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 185/500, InferTime: 0.0446, RespTime: 0.0656
[2022-10-12 06:10:26,416][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 186/500, InferTime: 0.0446, RespTime: 0.0655
[2022-10-12 06:10:26,507][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 187/500, InferTime: 0.0443, RespTime: 0.0655
[2022-10-12 06:10:26,594][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 188/500, InferTime: 0.0445, RespTime: 0.0655
[2022-10-12 06:10:26,702][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 189/500, InferTime: 0.0445, RespTime: 0.0655
[2022-10-12 06:10:26,791][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 190/500, InferTime: 0.0447, RespTime: 0.0657
[2022-10-12 06:10:26,877][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 191/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:26,965][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 192/500, InferTime: 0.0445, RespTime: 0.0654
[2022-10-12 06:10:27,049][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 193/500, InferTime: 0.0443, RespTime: 0.0652
[2022-10-12 06:10:27,139][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 194/500, InferTime: 0.0444, RespTime: 0.0653
